Color_exterior,Color_interior,Comfort,Entertainment,Extras,Fuel,Gearbox,Initial_registration,Mileage,Owners,Power,Security,Seller,price
Weiß,Stoff,"Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Radio","Alufelgen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,07/2021,20800,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Scheinwerfer,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,23660
Grau,Schwarz,"Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Panoramadach,Schiebedach,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,Soundsystem,Volldigitales Kombiinstrument","Innenspiegel automatisch abblendend,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Diesel,Automatik,07/2023,28897,1,110 kW (150 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,29890
Schwarz,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,USB","Allwetterreifen,Alufelgen",Diesel,Automatik,07/2015,191200,,110 kW (150 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,10890
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,04/2023,16680,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,27980
Blau,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Diesel,Schaltgetriebe,10/2019,74456,,110 kW (150 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,19790
Schwarz,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,USB","Alufelgen,E10-geeignet,Pannenkit,Sommerreifen,Sportfahrwerk,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,06/2019,94000,1,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,12990
Schwarz,Vollleder,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem","Allwetterreifen,Alufelgen,Ambientebeleuchtung,E10-geeignet,Innenspiegel automatisch abblendend,Pannenkit,Scheinwerferreinigung,Sportfahrwerk,Sportpaket,Sportsitze,Winterpaket",Benzin,Automatik,11/2011,24000,,105 kW (143 PS),"ABS,Alarmanlage,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Tagfahrlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,15750
Weiß,Teilleder,"2-Zonen-Klimaautomatik,Armlehne,Beheizbare Frontscheibe,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Panoramadach,Regensensor,Schiebedach,Start/Stop-Automatik,Tempomat,Umklappbarer Beifahrersitz,teilb. Rücksitzbank","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,Soundsystem,USB","Allwetterreifen,Alufelgen,Anhängerkupplung,Innenspiegel automatisch abblendend,Pannenkit,Sportpaket,Sportsitze,Stahlfelgen",Diesel,Schaltgetriebe,05/2010,161200,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,Bi-Xenon Scheinwerfer,Blendfreies Fernlicht,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Scheinwerfer,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,6800
Blau,Stoff,"Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB","Allwetterreifen,Alufelgen (16""),Anhängerkupplung,Innenspiegel automatisch abblendend,Katalysator,Pannenkit,Stahlfelgen",Diesel,Automatik,08/2016,136000,,110 kW (150 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,12500
Schwarz,Stoff,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument","Allwetterreifen,Alufelgen (17""),Ambientebeleuchtung,E10-geeignet,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Katalysator,Pannenkit,Spoiler,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterpaket",Benzin,Schaltgetriebe,08/2016,58000,,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,13980
Weiß,Vollleder,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Radio,Soundsystem,USB,Volldigitales Kombiinstrument","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Sommerreifen,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,10/2021,64401,,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,21990
Schwarz,Grau,"2-Zonen-Klimaautomatik,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,USB","Alufelgen,Sommerreifen",Benzin,Automatik,11/2014,49300,2,125 kW (170 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,13990
Weiß,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Schiebedach,Sitzheizung,Tempomat,Umklappbarer Beifahrersitz,teilb. Rücksitzbank","Bordcomputer,CD,Radio","Allwetterreifen,Alufelgen,Sportsitze,Stahlfelgen",Benzin,Automatik,08/2007,155000,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Tagfahrlicht,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Privat,6200
Schwarz,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Regensensor,Schiebedach,Sitzheizung,Start/Stop-Automatik","Bordcomputer,CD,Freisprecheinrichtung,Radio","Allwetterreifen,Alufelgen,Innenspiegel automatisch abblendend",Benzin,Schaltgetriebe,06/2007,216000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,3990
Schwarz,Stoff,"2-Zonen-Klimaautomatik,Armlehne,Beheizbare Frontscheibe,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Umklappbarer Beifahrersitz","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,USB","Alufelgen,Ambientebeleuchtung,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Skisack,Sommerreifen,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,10/2019,39984,1,103 kW (140 PS),"ABS,Abstandstempomat,Abstandswarner,Alarmanlage,Blendfreies Fernlicht,ESP,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Servolenkung,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,16399
Weiß,Vollleder,"Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,CD,Soundsystem,USB","Alufelgen,Innenspiegel automatisch abblendend,Notrad,Sommerreifen",Benzin,Schaltgetriebe,11/2009,157155,5,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,7490
Schwarz,Sonstige,"Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Touchscreen",Benzin,Schaltgetriebe,04/2021,92393,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,15990
Weiß,Alcantara,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,Umklappbarer Beifahrersitz","Apple CarPlay,Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,USB","Alufelgen (17""),Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Tuning,Winterreifen",Benzin,Schaltgetriebe,11/2016,121000,,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,Kopfairbag,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung",Privat,13300
Schwarz,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,USB","Alufelgen,Ambientebeleuchtung,Raucherpaket,Sommerreifen,Stahlfelgen,Winterreifen",Benzin,Automatik,08/2017,56700,2,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,15200
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Partikelfilter,Sommerreifen,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Diesel,Automatik,08/2021,59600,,110 kW (150 PS),"ABS,Abstandswarner,Airbag hinten,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,22890
Rot,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,TV,USB","Allwetterreifen,Alufelgen,Gepäckraumabtrennung,Pannenkit,Raucherpaket,Scheinwerferreinigung,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterpaket",Benzin,Schaltgetriebe,09/2011,150000,2,125 kW (170 PS),"ABS,Alarmanlage,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Wegfahrsperre,Zentralverriegelung",Händler,7450
Schwarz,Grau,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Katalysator,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,06/2021,51624,,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,17899
Silber,Grau,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,USB","Alufelgen,Ambientebeleuchtung,Pannenkit,Scheinwerferreinigung,Skisack,Sommerreifen,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,12/2017,59100,2,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,Kurvenlicht,LED-Scheinwerfer,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,14990
Weiß,Grau,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument","Alufelgen,Sommerreifen,Sprachsteuerung",Diesel,Schaltgetriebe,04/2022,68000,1,110 kW (150 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,LED-Scheinwerfer,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,19500
Grau,Alcantara,"Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,teilb. Rücksitzbank",Bordcomputer,"Allwetterreifen,Alufelgen,Anhängerkupplung,Sommerreifen,Stahlfelgen,Winterreifen",Diesel,Schaltgetriebe,05/2005,264344,2,90 kW (122 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Kopfairbag,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,2100
Weiß,,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Start/Stop-Automatik,Umklappbarer Beifahrersitz,teilb. Rücksitzbank","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,USB","Alufelgen (18""),Partikelfilter,Scheinwerferreinigung,Sommerreifen,Sportpaket,Sportsitze,Sprachsteuerung,Winterreifen",Diesel,Schaltgetriebe,04/2013,178500,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,7500
Weiß,,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,Soundsystem,USB","Alufelgen,Partikelfilter,Sommerreifen,Winterreifen",Diesel,Schaltgetriebe,10/2015,212000,,110 kW (150 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Händler,8500
Metallic,,"Armlehne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederausstattung,Lederlenkrad,Sitzheizung,teilb. Rücksitzbank","Bordcomputer,CD,MP3,Radio,Soundsystem","Sportfahrwerk,Sportpaket,Stahlfelgen",Benzin,Schaltgetriebe,07/2008,272000,1,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,2850
